"","fire","landscape","threshold","level","class","id","metric","value","rule"
"1","fire","1","high","landscape",NA,NA,"contag",61.3005917690527,"8"
"2","fire","1","high","landscape",NA,NA,"ed",31.3927781871776,"8"
"3","fire","1","high","landscape",NA,NA,"lpi",86.8422991893884,"8"
"4","fire","1","high","landscape",NA,NA,"shei",0.531285408432778,"8"
"5","fire","1","high","landscape",NA,NA,"sidi",0.212218407895087,"8"
"6","fire","1","low","landscape",NA,NA,"contag",46.314739058385,"8"
"7","fire","1","low","landscape",NA,NA,"ed",30.0294767870302,"8"
"8","fire","1","low","landscape",NA,NA,"lpi",73.8761974944731,"8"
"9","fire","1","low","landscape",NA,NA,"shei",0.817066013898294,"8"
"10","fire","1","low","landscape",NA,NA,"sidi",0.378657445848351,"8"
"11","fire","2","high","landscape",NA,NA,"contag",46.0201398715562,"8"
"12","fire","2","high","landscape",NA,NA,"ed",55.3046818229005,"8"
"13","fire","2","high","landscape",NA,NA,"lpi",80.5045157271878,"8"
"14","fire","2","high","landscape",NA,NA,"shei",0.685594833829366,"8"
"15","fire","2","high","landscape",NA,NA,"sidi",0.298433970383262,"8"
"16","fire","2","low","landscape",NA,NA,"contag",24.6592558200439,"8"
"17","fire","2","low","landscape",NA,NA,"ed",79.2717741098308,"8"
"18","fire","2","low","landscape",NA,NA,"lpi",51.5337900965431,"8"
"19","fire","2","low","landscape",NA,NA,"shei",0.970327830118902,"8"
"20","fire","2","low","landscape",NA,NA,"sidi",0.47957421356302,"8"
"21","fire","3","high","landscape",NA,NA,"contag",54.6696494716157,"8"
"22","fire","3","high","landscape",NA,NA,"ed",40.2067340579159,"8"
"23","fire","3","high","landscape",NA,NA,"lpi",84.4607433305465,"8"
"24","fire","3","high","landscape",NA,NA,"shei",0.600238198260148,"8"
"25","fire","3","high","landscape",NA,NA,"sidi",0.249645376128794,"8"
"26","fire","3","low","landscape",NA,NA,"contag",38.1081915697026,"8"
"27","fire","3","low","landscape",NA,NA,"ed",50.1634111119556,"8"
"28","fire","3","low","landscape",NA,NA,"lpi",70.4871931291328,"8"
"29","fire","3","low","landscape",NA,NA,"shei",0.854780934760866,"8"
"30","fire","3","low","landscape",NA,NA,"sidi",0.402767443669942,"8"
"31","fire","4","high","landscape",NA,NA,"contag",46.5367825701657,"8"
"32","fire","4","high","landscape",NA,NA,"ed",51.4650919419943,"8"
"33","fire","4","high","landscape",NA,NA,"lpi",80.0418597697713,"8"
"34","fire","4","high","landscape",NA,NA,"shei",0.702124630532653,"8"
"35","fire","4","high","landscape",NA,NA,"sidi",0.308187246814962,"8"
"36","fire","4","low","landscape",NA,NA,"contag",26.8271959669296,"8"
"37","fire","4","low","landscape",NA,NA,"ed",72.7687247720138,"8"
"38","fire","4","low","landscape",NA,NA,"lpi",58.4915532964569,"8"
"39","fire","4","low","landscape",NA,NA,"shei",0.965020125647334,"8"
"40","fire","4","low","landscape",NA,NA,"sidi",0.475950400960192,"8"
"41","fire","5","high","landscape",NA,NA,"contag",45.3151101282128,"8"
"42","fire","5","high","landscape",NA,NA,"ed",31.9661578076145,"8"
"43","fire","5","high","landscape",NA,NA,"lpi",73.0623505609711,"8"
"44","fire","5","high","landscape",NA,NA,"shei",0.822661490482123,"8"
"45","fire","5","high","landscape",NA,NA,"sidi",0.382204115162802,"8"
"46","fire","5","low","landscape",NA,NA,"contag",38.7140942001289,"8"
"47","fire","5","low","landscape",NA,NA,"ed",31.8435411685366,"8"
"48","fire","5","low","landscape",NA,NA,"lpi",62.5565569247747,"8"
"49","fire","5","low","landscape",NA,NA,"shei",0.948949398752282,"8"
"50","fire","5","low","landscape",NA,NA,"sidi",0.465033811307065,"8"
